"state","points","price"
"washington",87,40
"california",87,18
"washington",87,14
"california",90,26
"california",90,20
"california",90,50
"california",90,42
"california",90,28
"oregon",90,32
"california",90,25
"california",90,40
"california",90,90
"california",90,45
"oregon",90,19
"california",90,25
"oregon",90,22
"california",90,56
"california",90,40
"california",90,85
"california",90,24
"california",90,26
"washington",90,46
"california",90,24
"california",90,36
"california",90,16
"new york",90,20
"washington",90,15
"california",90,20
"california",90,75
"california",90,55
"california",90,35
"california",90,48
"new york",90,18
"california",93,32
"california",93,55
"california",93,94
"california",93,40
"oregon",93,37
"california",93,44
"california",93,50
"washington",93,32
"california",93,36
"oregon",93,35
"california",93,60
"california",93,48
"california",93,30
"washington",93,32
"california",93,65
"oregon",90,50
"oregon",90,32
"oregon",90,15
"california",90,50
"california",90,100
"california",90,42
"california",90,26
"california",90,50
"california",90,44
"oregon",90,60
"oregon",90,20
"california",90,45
"california",92,55
"california",92,75
"california",92,34
"california",92,60
"california",92,100
"washington",92,39
"washington",92,42
"california",92,65
"california",92,43
"california",92,100
"california",92,70
"california",92,80
"california",85,32
"california",85,18
"washington",85,18
"california",85,52
"washington",85,27
"new york",85,15
"new york",85,25
"california",85,20
"new york",87,25
"idaho",87,23
"california",87,24
"california",87,16
"washington",87,32
"washington",87,13
"washington",87,74
"washington",87,35
"new york",87,20
"idaho",87,18
"california",87,21
"new york",87,18
"oregon",89,33
"oregon",89,22
"california",88,20
"california",88,96
"california",88,28
"california",88,19
"california",88,26
"oregon",88,34
"california",88,14
"california",88,28
"california",88,66
"california",88,25
"california",88,28
"oregon",88,28
"california",91,24
"california",91,36
"oregon",91,28
"california",91,43
"california",91,44
"california",91,50
"california",91,56
"california",91,48
"oregon",91,19
"california",91,64
"california",88,63
"oregon",88,16
"california",88,18
"california",88,18
"oregon",88,48
"oregon",88,16
"california",88,35
"oregon",88,40
"oregon",88,48
"california",88,20
"california",88,26
"california",88,30
"oregon",88,23
"california",88,21
"california",88,30
"oregon",88,17
"california",88,25
"oregon",90,40
"california",90,40
"california",90,28
"california",90,36
"california",90,65
"california",90,49
"california",90,44
"california",90,48
"california",90,28
"california",90,30
"oregon",90,16
"oregon",90,45
"oregon",90,48
"oregon",90,35
"california",90,24
"california",90,95
"california",90,32
"california",90,24
"washington",90,12
"california",90,42
"new york",90,72
"california",90,66
"california",90,18
"california",90,44
"california",90,45
"california",90,30
"california",90,65
"california",90,65
"california",90,125
"california",90,38
"california",90,55
"california",90,85
"california",90,35
"california",90,48
"california",90,16
"oregon",90,28
"oregon",90,50
"oregon",90,32
"oregon",90,28
"california",90,33
"california",90,50
"oregon",90,50
"california",90,30
"california",90,40
"california",90,100
"california",90,28
"california",93,32
"california",93,40
"oregon",93,40
"oregon",92,75
"oregon",92,95
"california",92,42
"california",92,35
"oregon",92,28
"california",92,54
"california",92,35
"california",92,40
"oregon",92,68
"california",92,40
"california",92,80
"california",92,38
"california",92,38
"oregon",92,63
"oregon",92,40
"california",92,NA
"california",92,50
"california",92,34
"washington",85,26
"california",84,15
"california",84,29
"california",84,35
"california",84,14
"california",84,12
"california",92,35
"washington",92,32
"california",92,56
"washington",92,39
"washington",92,40
"california",92,20
"california",92,35
"washington",92,52
"california",92,48
"california",91,40
"california",91,54
"california",91,26
"california",91,30
"california",91,40
"california",91,24
"california",91,29
"california",91,80
"california",91,15
"washington",87,25
"washington",87,22
"california",87,25
"washington",87,32
"california",87,35
"washington",87,13
"washington",87,15
"washington",87,35
"washington",87,23
"california",87,19
"california",87,24
"washington",87,19
"california",87,48
"california",87,20
"washington",87,26
"washington",87,8
"washington",87,60
"washington",87,25
"california",87,20
"california",90,40
"california",90,95
"california",90,48
"oregon",90,48
"california",90,50
"california",90,28
"california",90,44
"california",90,60
"california",90,50
"california",90,54
"california",90,35
"california",90,45
"california",88,25
"california",88,25
"california",88,50
"california",88,30
"california",88,60
"california",88,15
"california",88,27
"oregon",88,20
"california",88,35
"california",88,40
"california",88,36
"california",88,26
"oregon",88,60
"california",88,25
"california",88,17
"california",88,37
"california",88,98
"california",88,25
"california",88,26
"california",88,10
"california",88,42
"colorado",88,25
"arizona",88,28
"california",90,24
"california",90,18
"california",90,40
"california",90,35
"california",90,35
"california",90,45
"california",90,65
"california",90,35
"oregon",90,35
"california",90,38
"california",90,40
"california",90,34
"oregon",90,40
"california",90,42
"california",90,40
"oregon",90,18
"california",90,75
"new york",90,21
"california",90,52
"california",90,55
"california",90,48
"california",90,35
"california",90,45
"washington",90,28
"idaho",90,30
"california",90,62
"washington",90,65
"california",90,36
"washington",90,30
"california",92,35
"oregon",92,28
"california",92,35
"oregon",92,45
"california",92,38
"california",92,45
"california",92,25
"california",92,32
"washington",92,35
"california",92,100
"oregon",92,65
"california",90,55
"california",90,25
"california",90,95
"california",90,10
"oregon",90,65
"california",90,20
"california",90,32
"california",90,38
"california",90,45
"oregon",90,19
"oregon",90,60
"california",90,50
"oregon",90,36
"california",90,44
"oregon",90,16
"washington",84,20
"california",84,45
"washington",84,34
"california",84,27
"california",83,25
"california",83,34
"california",83,65
"california",83,38
"california",83,23
"california",83,4
"california",91,200
"washington",91,55
"california",91,75
"california",91,50
"california",91,14
"washington",91,26
"california",91,25
"california",91,36
"california",91,50
"california",91,23
"california",91,16
"washington",91,30
"washington",91,15
"washington",91,22
"california",91,30
"california",91,80
"washington",91,15
"washington",87,28
"washington",87,28
"california",87,20
"california",87,10
"idaho",87,13
"new york",87,50
"idaho",87,28
"california",87,32
"washington",87,24
"california",87,54
"california",87,13
"california",87,16
"california",87,44
"california",87,11
"california",87,26
"washington",87,11
"washington",87,11
"california",87,28
"oregon",90,55
"california",90,35
"california",90,125
"california",90,28
"california",90,60
"california",90,55
"california",90,95
"oregon",90,30
"california",90,55
"oregon",88,22
"california",88,46
"oregon",88,45
"california",88,45
"oregon",88,13
"california",88,135
"california",88,75
"oregon",88,15
"oregon",88,40
"oregon",88,40
"oregon",88,20
"california",88,25
"california",88,40
"oregon",88,30
"california",88,72
"oregon",88,42
"oregon",88,60
"oregon",88,65
"california",88,50
"california",88,20
"california",87,44
"oregon",90,45
"california",90,29
"california",90,55
"california",90,24
"california",90,48
"california",90,60
"california",90,18
"california",90,28
"california",90,40
"oregon",90,39
"oregon",92,48
"oregon",92,27
"california",92,49
"washington",92,32
"california",92,42
"california",92,90
"oregon",92,75
"california",92,38
"washington",92,35
"california",92,48
"california",92,55
"california",92,38
"california",92,36
"washington",92,18
"oregon",92,54
"oregon",92,28
"new york",90,25
"california",90,55
"california",90,60
"california",90,34
"california",89,14
"idaho",89,18
"california",89,45
"washington",89,28
"idaho",89,22
"washington",89,20
"new york",89,20
"california",89,45
"california",90,50
"california",90,40
"california",90,75
"california",90,40
"california",90,25
"california",90,38
"california",90,65
"california",90,28
"california",90,35
"california",90,65
"california",90,29
"oregon",90,36
"california",83,35
"california",82,65
"washington",82,30
"california",98,75
"california",87,28
"new york",87,45
"washington",87,60
"california",87,54
"washington",87,24
"california",87,13
"california",87,16
"california",87,44
"california",87,11
"california",87,26
"washington",87,11
"california",87,18
"california",87,54
"california",87,30
"idaho",87,12
"new york",87,18
"washington",87,30
"new york",87,19
"california",87,32
"california",87,17
"idaho",86,23
"oregon",88,22
"california",88,46
"oregon",88,45
"california",88,9
"california",88,22
"california",88,36
"california",88,15
"oregon",88,18
"oregon",88,18
"oregon",88,30
"oregon",88,18
"california",90,30
"california",90,34
"oregon",90,40
"california",90,24
"california",90,30
"oregon",90,40
"california",90,32
"california",90,20
"california",90,32
"california",90,28
"california",90,14
"california",87,20
"virginia",87,45
"virginia",87,22
"california",87,20
"california",87,27
"california",87,14
"california",87,25
"california",87,21
"virginia",87,45
"california",87,16
"california",87,38
"arizona",87,21
"oregon",87,65
"california",87,24
"california",87,35
"virginia",87,35
"california",87,45
"virginia",87,32
"california",91,60
"washington",91,48
"california",91,38
"california",91,42
"washington",91,19
"california",91,54
"california",91,45
"california",91,28
"california",91,32
"california",91,35
"washington",91,60
"california",91,49
"california",91,14
"washington",91,27
"washington",91,25
"california",91,54
"california",90,28
"california",90,35
"california",90,65
"california",90,29
"oregon",90,48
"oregon",90,28
"california",90,36
"california",90,60
"california",90,70
"california",90,55
"california",92,85
"california",92,25
"california",92,40
"oregon",92,62
"california",92,29
"california",92,49
"washington",92,32
"california",92,140
"washington",92,41
"california",92,40
"california",92,90
"california",92,125
"california",92,50
"california",92,45
"california",90,38
"california",90,90
"california",90,32
"california",90,42
"oregon",90,24
"california",90,27
"california",90,42
"oregon",90,48
"oregon",90,55
"oregon",90,25
"california",90,45
"oregon",90,30
"california",89,25
"california",89,20
"new york",89,14
"california",89,40
"california",89,46
"california",89,40
"california",89,50
"washington",89,16
"california",89,54
"washington",89,12
"washington",89,18
"washington",89,34
"idaho",89,30
"california",97,90
"california",96,90
"california",96,40
"oregon",96,85
"california",96,54
"oregon",96,63
"oregon",96,63
"california",96,85
"new york",86,20
"california",86,30
"new york",86,27
"california",86,13
"california",86,16
"california",86,20
"california",86,7
"washington",86,18
"washington",86,30
"california",86,36
"idaho",86,26
"idaho",86,11
"new york",86,20
"oregon",88,40
"oregon",88,13
"california",88,40
"california",88,10
"california",88,39
"california",88,28
"california",88,59
"california",88,22
"california",88,14
"oregon",88,40
"oregon",88,35
"oregon",88,27
"oregon",88,20
"california",88,30
"california",88,49
"oregon",88,24
"california",91,32
"california",91,35
"california",91,40
"california",91,85
"california",91,32
"california",91,28
"california",91,16
"california",91,32
"california",91,64
"california",91,40
"california",91,30
"washington",91,17
"california",91,35
"california",91,44
"california",90,32
"california",90,30
"oregon",90,50
"california",90,22
"california",90,19
"california",90,42
"california",92,140
"washington",92,41
"california",92,40
"california",92,90
"california",92,118
"california",92,65
"california",92,45
"california",92,38
"california",92,45
"california",92,50
"california",92,28
"california",92,28
"california",92,120
"california",92,65
"oregon",92,49
"california",92,62
"virginia",87,16
"california",87,29
"virginia",87,20
"california",87,42
"california",87,13
"california",87,13
"california",87,13
"california",87,57
"california",87,13
"virginia",87,18
"washington",89,40
"washington",89,25
"washington",89,50
"california",89,39
"washington",89,40
"new york",89,15
"washington",89,24
"washington",89,12
"washington",89,18
"california",89,85
"california",89,21
"california",89,36
"california",89,37
"california",89,36
"oregon",90,45
"oregon",90,48
"california",90,35
"california",90,25
"oregon",90,50
"california",90,29
"california",90,64
"california",90,28
"california",90,14
"california",90,40
"california",90,20
"california",89,25
"california",89,15
"california",89,28
"oregon",89,100
"california",89,19
"oregon",89,24
"california",89,49
"oregon",89,25
"california",89,22
"california",96,150
"oregon",95,45
"california",95,50
"california",95,72
"california",95,82
"california",95,58
"new york",86,20
"california",86,12
"new york",86,16
"new york",86,25
"new york",86,18
"washington",86,40
"california",86,18
"washington",86,35
"washington",86,20
"california",86,8
"california",86,55
"new york",86,25
"california",86,13
"california",86,11
"california",86,20
"california",86,14
"new york",86,16
"california",86,28
"california",86,10
"washington",86,30
"oregon",92,49
"california",92,62
"california",92,65
"california",92,55
"california",92,36
"california",91,19
"california",91,50
"california",91,75
"california",91,48
"california",91,18
"california",91,49
"california",91,55
"oregon",91,45
"california",91,35
"california",91,38
"washington",91,60
"oregon",91,20
"california",89,22
"california",89,24
"washington",89,34
"california",89,45
"washington",89,36
"california",89,20
"washington",89,40
"california",89,46
"california",89,29
"california",89,30
"california",89,21
"california",89,36
"california",89,37
"california",89,36
"california",89,17
"california",89,45
"california",89,25
"california",89,22
"oregon",88,22
"california",88,22
"oregon",88,18
"california",88,12
"california",88,28
"california",88,13
"california",88,10
"oregon",88,13
"oregon",88,33
"california",88,25
"california",88,35
"california",88,125
"california",91,35
"new york",91,60
"washington",91,26
"washington",91,36
"california",91,35
"california",91,48
"california",91,20
"california",91,70
"california",91,38
"california",91,25
"california",91,18
"california",91,40
"california",91,20
"washington",91,20
"washington",91,80
"oregon",90,19
"california",90,48
"oregon",90,32
"oregon",90,28
"california",90,35
"california",90,36
"california",90,32
"california",90,49
"california",90,40
"virginia",87,40
"california",87,45
"virginia",87,28
"california",87,20
"california",87,48
"california",87,75
"california",87,26
"virginia",87,26
"california",87,30
"california",87,11
"oregon",87,16
"oregon",89,48
"california",89,65
"california",89,20
"oregon",89,32
"california",89,32
"california",89,22
"oregon",89,48
"oregon",89,45
"oregon",89,45
"california",89,45
"california",89,22
"california",89,32
"california",89,32
"california",89,25
"oregon",89,28
"california",89,22
"california",89,49
"california",89,76
"california",89,35
"california",95,75
"oregon",95,45
"california",95,75
"california",95,95
"california",95,62
"california",95,58
"california",95,60
"oregon",95,70
"california",95,60
"california",95,82
"california",86,8
"california",86,55
"washington",86,26
"washington",86,15
"washington",86,28
"washington",86,13
"california",86,18
"california",86,12
"idaho",86,50
"washington",86,14
"california",91,25
"california",91,32
"california",91,67
"california",91,90
"california",91,30
"california",91,39
"california",91,55
"california",91,24
"california",91,89
"oregon",91,20
"california",91,28
"california",91,54
"california",89,20
"washington",89,12
"washington",89,32
"washington",89,40
"california",89,35
"new york",89,25
"washington",89,30
"california",89,49
"washington",89,34
"washington",89,45
"california",89,25
"washington",89,26
"washington",89,18
"washington",89,10
"washington",91,20
"washington",91,80
"california",91,35
"california",91,35
"california",91,34
"california",91,35
"california",91,42
"california",91,20
"california",90,75
"new york",90,15
"california",90,55
"california",90,29
"california",90,18
"california",90,65
"california",90,26
"california",90,25
"california",90,24
"california",90,90
"california",90,50
"california",88,25
"california",88,18
"california",88,36
"california",88,25
"california",88,30
"oregon",88,22
"california",88,25
"california",88,30
"oregon",88,16
"oregon",88,24
"california",88,30
"california",88,60
"oregon",88,21
"california",88,25
"california",88,26
"oregon",90,75
"oregon",90,29
"california",90,30
"california",90,80
"california",89,80
"oregon",89,60
"california",89,42
"california",89,68
"california",89,20
"oregon",89,20
"california",89,40
"california",89,45
"california",89,40
"california",89,35
"california",89,NA
"oregon",89,50
"oregon",89,75
"california",87,22
"colorado",87,50
"california",87,16
"california",87,39
"colorado",87,36
"arizona",87,54
"virginia",87,19
"colorado",87,50
"virginia",87,40
"california",87,48
"california",87,70
"california",87,17
"virginia",87,22
"california",87,49
"california",87,18
"america",87,23
"oregon",87,42
"virginia",87,36
"california",87,34
"california",87,25
"oregon",89,50
"oregon",89,45
"oregon",89,39
"california",89,60
"california",89,28
"california",89,27
"california",89,32
"california",89,80
"california",89,38
"california",89,25
"oregon",94,63
"california",94,65
"california",94,65
"california",94,105
"california",94,55
"california",94,48
"california",94,90
"california",94,72
"oregon",94,63
"california",94,100
"california",94,58
"california",94,38
"california",86,9
"california",86,12
"new york",86,20
"new york",86,18
"california",86,26
"california",86,24
"california",86,7
"washington",86,28
"washington",86,20
"idaho",86,11
"washington",86,34
"california",86,25
"california",86,17
"california",86,15
"california",86,60
"washington",86,18
"new york",86,20
"idaho",86,23
"california",86,17
"california",86,40
"california",88,18
"california",88,25
"california",87,10
"california",87,10
"california",87,15
"california",87,39
"california",87,30
"oregon",87,16
"oregon",87,30
"oregon",87,42
"california",87,35
"california",91,32
"california",91,65
"california",91,48
"california",91,48
"california",91,22
"california",91,50
"washington",91,29
"california",91,75
"california",91,17
"oregon",91,24
"california",91,65
"california",91,60
"california",91,40
"california",91,45
"california",91,38
"california",91,34
"california",89,30
"california",89,40
"washington",89,12
"california",89,14
"new york",89,29
"idaho",89,18
"california",89,55
"california",89,21
"california",89,12
"california",89,34
"california",89,24
"california",89,45
"california",89,22
"washington",89,25
"california",89,48
"washington",90,60
"washington",90,25
"washington",90,15
"california",90,53
"washington",90,19
"washington",90,55
"california",90,75
"california",90,48
"washington",90,15
"california",90,24
"washington",90,16
"california",90,28
"california",90,50
"california",90,100
"california",90,25
"california",89,45
"oregon",89,30
"california",89,37
"california",89,45
"california",89,20
"california",89,25
"california",89,45
"california",89,45
"california",89,40
"california",89,14
"oregon",89,25
"california",89,28
"california",89,39
"california",89,25
"california",89,26
"california",89,60
"california",89,42
"california",89,35
"california",89,22
"oregon",89,28
"california",89,39
"california",89,42
"california",89,36
"oregon",89,14
"virginia",87,24
"oregon",87,35
"california",87,20
"virginia",87,35
"oregon",87,20
"california",87,24
"colorado",87,25
"california",87,25
"california",87,21
"california",94,50
"california",94,50
"california",94,52
"california",94,75
"oregon",94,65
"california",94,50
"oregon",94,63
"california",94,68
"california",94,66
"california",94,40
"california",94,48
"california",94,90
"california",89,45
"california",89,22
"washington",89,25
"california",89,48
"new york",89,20
"california",89,21
"california",89,12
"california",89,34
"california",89,24
"california",89,24
"california",89,26
"california",89,38
"california",86,60
"california",86,25
"california",86,15
"california",86,17
"washington",86,18
"california",86,17
"new york",86,11
"california",86,59
"washington",86,30
"idaho",85,30
"idaho",85,11
"california",85,32
"washington",85,20
"california",85,28
"california",85,18
"california",85,28
"california",85,30
"washington",85,22
"california",85,20
"washington",85,16
"washington",85,36
"oregon",87,16
"oregon",87,42
"oregon",87,30
"oregon",87,15
"california",87,23
"california",87,17
"california",87,35
"california",87,32
"oregon",87,17
"california",87,35
"california",87,10
"california",91,25
"california",91,45
"california",91,20
"california",91,50
"california",91,35
"washington",91,80
"california",91,25
"oregon",91,50
"california",91,23
"oregon",89,50
"california",89,21
"california",89,45
"california",89,45
"california",89,44
"california",89,40
"oregon",89,32
"california",89,55
"oregon",89,25
"california",89,30
"california",89,27
"california",89,27
"california",89,40
"california",89,16
"california",89,27
"california",89,30
"california",89,25
"california",89,42
"california",89,32
"california",89,59
"oregon",89,40
"california",90,30
"california",90,34
"california",90,95
"california",90,85
"california",90,56
"washington",90,25
"california",90,19
"washington",90,45
"california",90,35
"washington",90,32
"washington",90,26
"california",90,90
"new york",90,37
"california",90,25
"washington",90,25
"california",90,39
"california",89,18
"california",89,25
"california",89,45
"california",89,35
"oregon",89,36
"california",89,27
"california",89,45
"california",89,56
"california",89,40
"virginia",87,35
"california",87,20
"california",87,22
"oregon",87,22
"california",87,24
"virginia",87,35
"california",87,16
"california",87,15
"california",87,18
"california",87,18
"california",87,40
"california",86,30
"oregon",94,105
"california",94,60
"california",94,50
"california",94,50
"california",94,50
"oregon",94,63
"california",94,54
"oregon",94,45
"california",94,65
"california",94,68
"california",94,60
"california",94,36
"california",94,98
"oregon",94,90
"california",94,72
"california",94,155
"california",93,60
"california",89,29
"california",88,20
"california",88,22
"california",88,11
"california",88,32
"california",88,20
"california",88,15
"washington",88,28
"california",91,25
"oregon",91,50
"california",91,23
"washington",91,65
"oregon",91,22
"california",91,33
"california",91,70
"california",91,150
"california",91,65
"california",91,48
"california",91,43
"california",91,52
"washington",91,60
"oregon",91,28
"washington",85,22
"california",85,25
"california",85,35
"california",85,20
"idaho",85,17
"new york",85,22
"new york",85,28
"washington",85,15
"washington",85,8
"idaho",85,12
"idaho",85,16
"california",85,30
"california",85,43
"washington",85,45
"new york",85,22
"washington",85,25
"new york",85,20
"oregon",87,18
"california",87,50
"california",87,30
"oregon",87,18
"california",87,20
"oregon",87,24
"california",87,48
"oregon",87,32
"california",87,11
"california",87,22
"oregon",87,30
"oregon",87,17
"california",89,30
"california",89,24
"california",89,36
"california",89,40
"oregon",89,45
"oregon",89,36
"california",89,27
"california",89,45
"california",89,56
"california",89,40
"california",89,50
"california",89,45
"oregon",89,35
"california",89,35
"oregon",89,16
"oregon",89,45
"california",89,44
"california",89,24
"california",89,58
"california",89,30
"oregon",89,38
"oregon",89,38
"california",89,47
"oregon",89,80
"california",89,54
"california",89,60
"oregon",89,35
"california",89,30
"oregon",89,55
"california",89,38
"california",89,20
"california",89,16
"california",89,14
"california",90,35
"california",90,30
"new york",90,24
"washington",90,13
"california",90,42
"new york",90,16
"new york",90,20
"california",90,35
"washington",90,30
"washington",90,20
"california",90,35
"california",90,90
"new york",90,21
"california",90,16
"california",90,55
"california",90,35
"california",90,35
"california",90,25
"california",90,64
"california",86,25
"california",86,24
"virginia",86,60
"california",86,18
"virginia",86,18
"california",86,20
"arizona",86,26
"virginia",86,25
"oregon",86,21
"virginia",86,24
"california",86,48
"oregon",86,20
"california",86,30
"arizona",86,18
"california",93,44
"california",93,34
"california",93,40
"california",93,55
"california",93,60
"california",93,90
"california",93,45
"california",93,62
"california",93,75
"oregon",93,60
"oregon",93,63
"oregon",93,63
"new york",88,20
"california",88,45
"california",88,48
"washington",88,30
"washington",88,34
